Seniority;Status;Category;FirstDivision;SecondDivision;RFEF1;RFEF2;RFEF3;Preferent;Regional1;Regional2;Regional3;Junior;Male;Sex;YearBorn;Age;DateBorn;MadridBorn;PlaceBorn;Spanish;PostCode;City;MainRef;AssRef;Role;textCategory;MadridOffice;AlcalaOffice;AranjuezOffice;Office;;Weight;Height;Profession;StartYear;StartDate;StartAge;DropYear;DropDate;DropAge;talent
20;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1980;41;09/04/1980;1;MADRID;1;28936;Móstoles;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;;;ESTUDIANTE;2001;13/02/2001;21;2014;30/06/2014;34;0
2;1;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;2003;18;08/02/2003;1;MADRID;1;28905;Getafe;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;55;178;;2019;10/10/2019;16;;;;0
19;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1965;56;25/03/1965;0;BUENOS AIRES;1;28220;Majadahonda;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;;;;2002;17/10/2002;37;2014;30/06/2014;49;0
2;1;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;2004;17;12/06/2004;1;MADRID;1;28923;Alcorcón;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;;;;2019;09/07/2019;15;;;;0
11;0;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;1990;31;17/07/1990;1;MOSTOLES;1;28933;Móstoles;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;;;INDUSTRIAL;2010;02/11/2010;20;2014;30/06/2014;24;0
0;0;7;0;0;0;0;0;0;1;0;0;0;1;MASCULINO;2001;20;03/08/2001;0;VALENCIA;1;28025;Madrid;1;0;ARBITRO;PRIMERA AFICIONADOS;1;0;0;MADRID;;;;;2021;26/07/2021;20;2021;;20;0
12;1;7;0;0;0;0;0;0;1;0;0;0;1;MASCULINO;1988;33;04/08/1988;1;MADRID;1;28941;Fuenlabrada;1;0;ARBITRO;PRIMERA AFICIONADOS;1;0;0;MADRID;;;;TECNICO LABORATORIO;2009;01/05/2009;21;;;;0
9;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1995;26;10/07/1995;1;LEGANES;1;28916;Leganés;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;70;1.8;;2012;30/01/2012;17;2021;25/06/2021;26;0
9;1;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1995;26;22/06/1995;1;MADRID;1;28021;Madrid;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;;;;2012;13/04/2012;17;;;;0
2;1;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1996;25;22/10/1996;0;Zurich;1;28046;Madrid;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;60;167;;2019;22/07/2019;23;;;;0
6;1;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1990;31;12/02/1990;0;CARTAGENA DE INDIAS;1;28901;Getafe;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;70;170;;2015;10/03/2015;25;;;;0
